id_prod,price,categ,client_id,sex,birth,date,session_id,year_month
0_528,0.62,0.0,c_1609,m,1980.0,2021-05-28 18:10:03.387366,s_40833,2021-05
0_1191,0.99,0.0,c_1609,m,1980.0,2022-06-20 12:48:50.925796,s_226587,2022-06
0_1191,0.99,0.0,c_1609,m,1980.0,2021-06-20 12:48:50.925796,s_51304,2021-06
0_1935,0.99,0.0,c_1609,m,1980.0,2021-03-08 11:10:47.462035,s_3447,2021-03
0_2275,0.99,0.0,c_1609,m,1980.0,2022-10-15 14:16:48.522121,s_282890,2022-10
0_2275,0.99,0.0,c_1609,m,1980.0,2021-07-15 14:16:48.522121,s_62653,2021-07
0_2275,0.99,0.0,c_3454,m,1969.0,2021-04-28 07:50:05.162940,s_26890,2021-04
0_1408,1.01,0.0,c_1609,m,1980.0,2021-09-10 05:12:15.354513,s_87613,2021-09
0_1408,1.01,0.0,c_1609,m,1980.0,2022-06-10 05:12:15.354513,s_221479,2022-06
0_1408,1.01,0.0,c_1609,m,1980.0,2022-07-10 05:12:15.354513,s_236217,2022-07
0_460,1.25,0.0,c_1609,m,1980.0,2021-12-05 19:08:21.975783,s_129914,2021-12
0_460,1.25,0.0,c_1609,m,1980.0,2022-09-05 19:08:21.975783,s_263761,2022-09
0_1436,1.32,0.0,c_1609,m,1980.0,2022-11-17 05:25:56.937413,s_298697,2022-11
0_1436,1.32,0.0,c_1609,m,1980.0,2021-08-17 05:25:56.937413,s_76830,2021-08
0_686,1.32,0.0,c_1609,m,1980.0,2022-02-20 16:59:56.969241,s_168216,2022-02
0_686,1.32,0.0,c_1609,m,1980.0,2022-10-20 16:59:56.969241,s_285453,2022-10
0_282,1.57,0.0,c_3454,m,1969.0,2021-06-09 01:21:12.645452,s_46040,2021-06
0_282,1.57,0.0,c_3454,m,1969.0,2022-10-09 01:21:12.645452,s_279792,2022-10
0_1726,1.57,0.0,c_3454,m,1969.0,2022-08-12 14:46:57.166761,s_252259,2022-08
0_1726,1.57,0.0,c_3454,m,1969.0,2021-06-12 14:46:57.166761,s_47673,2021-06
0_1938,1.58,0.0,c_1609,m,1980.0,2022-10-16 19:50:21.212044,s_283435,2022-10
0_1938,1.58,0.0,c_1609,m,1980.0,2022-06-16 19:50:21.212044,s_224822,2022-06
0_1938,1.58,0.0,c_1609,m,1980.0,2021-05-16 19:50:21.212044,s_35407,2021-05
0_1938,1.58,0.0,c_1609,m,1980.0,2022-03-16 19:50:21.212044,s_180062,2022-03
0_2204,1.62,0.0,c_1609,m,1980.0,2022-04-14 15:48:25.815712,s_193983,2022-04
0_2204,1.62,0.0,c_1609,m,1980.0,2021-11-14 15:48:25.815712,s_119575,2021-11
0_2204,1.62,0.0,c_1609,m,1980.0,2021-07-07 02:50:10.405090,s_58896,2021-07
0_696,1.67,0.0,c_1609,m,1980.0,2022-01-23 06:46:12.376402,s_153906,2022-01
0_696,1.67,0.0,c_1609,m,1980.0,2023-01-23 06:46:12.376402,s_331014,2023-01
0_696,1.67,0.0,c_1609,m,1980.0,2022-10-23 06:46:12.376402,s_286738,2022-10
0_1504,1.68,0.0,c_6714,f,1968.0,2022-01-14 00:13:55.781594,s_149434,2022-01
0_1504,1.68,0.0,c_6714,f,1968.0,2022-10-14 00:13:55.781594,s_282129,2022-10
0_276,1.81,0.0,c_6714,f,1968.0,2021-03-25 05:30:19.572383,s_11118,2021-03
0_276,1.81,0.0,c_1609,m,1980.0,2022-07-19 23:04:41.530472,s_240824,2022-07
0_276,1.81,0.0,c_1609,m,1980.0,2022-05-19 23:04:41.530472,s_211159,2022-05
